Year,Primary_Type,Count,Mean_Temp
2012,NARCOTICS,127,37.5
2012,CRIMINAL DAMAGE,72,37.5
2012,BURGLARY,66,37.5
2012,ASSAULT,56,37.5
2012,THEFT,187,50
2012,BATTERY,160,50
2012,NARCOTICS,120,50
2012,CRIMINAL DAMAGE,90,50
2012,ASSAULT,63,50
2012,BURGLARY,61,50
2012,THEFT,236,40
2012,NARCOTICS,150,40
2012,BATTERY,141,40
2012,CRIMINAL DAMAGE,77,40
2012,ASSAULT,52,40
2012,BURGLARY,51,40
2012,THEFT,175,37
2012,BATTERY,148,37
2012,NARCOTICS,142,37
2012,CRIMINAL DAMAGE,84,37
2012,ASSAULT,56,37
2012,BURGLARY,51,37
2012,THEFT,195,36
2012,NARCOTICS,147,36
2012,BATTERY,112,36
2012,CRIMINAL DAMAGE,106,36
2012,BURGLARY,48,36
2012,ASSAULT,39,36
2012,THEFT,169,35.5
2012,BATTERY,153,35.5
2012,NARCOTICS,130,35.5
2012,CRIMINAL DAMAGE,91,35.5
2012,ASSAULT,48,35.5
2012,BURGLARY,39,35.5
2012,BATTERY,154,37
2012,THEFT,116,37
2012,NARCOTICS,95,37
2012,CRIMINAL DAMAGE,86,37
2012,ASSAULT,36,37
2012,BURGLARY,29,37
2012,THEFT,169,31.5
2012,NARCOTICS,111,31.5
2012,BATTERY,108,31.5
2012,CRIMINAL DAMAGE,67,31.5
2012,BURGLARY,55,31.5
2012,ASSAULT,40,31.5
2012,THEFT,190,32.5
2012,NARCOTICS,131,32.5
2012,BATTERY,118,32.5
2012,CRIMINAL DAMAGE,79,32.5
2012,ASSAULT,46,32.5
2012,BURGLARY,44,32.5
2012,THEFT,182,31
2012,NARCOTICS,137,31
2012,BATTERY,127,31
2012,CRIMINAL DAMAGE,64,31
2012,ASSAULT,53,31
2012,BURGLARY,51,31
2012,THEFT,177,28.5
2012,NARCOTICS,142,28.5
2012,BATTERY,134,28.5
2012,CRIMINAL DAMAGE,73,28.5
2012,BURGLARY,53,28.5
2012,ASSAULT,36,28.5
2012,THEFT,160,25
2012,NARCOTICS,125,25
2012,BATTERY,99,25
2012,CRIMINAL DAMAGE,86,25
2012,BURGLARY,52,25
2012,ASSAULT,48,25
2012,THEFT,143,15
2012,BATTERY,116,15
2012,NARCOTICS,114,15
2012,CRIMINAL DAMAGE,81,15
2012,ASSAULT,42,15
2012,BURGLARY,35,15
2012,BATTERY,138,25.5
2012,THEFT,137,25.5
2012,NARCOTICS,113,25.5
2012,CRIMINAL DAMAGE,68,25.5
2012,ASSAULT,38,25.5
2012,BURGLARY,37,25.5
2012,THEFT,163,25.5
2012,NARCOTICS,116,25.5
2012,BATTERY,103,25.5
2012,CRIMINAL DAMAGE,59,25.5
2012,BURGLARY,46,25.5
2012,ASSAULT,39,25.5
2012,THEFT,170,32.5
2012,NARCOTICS,123,32.5
2012,BATTERY,114,32.5
2012,CRIMINAL DAMAGE,65,32.5
2012,ASSAULT,53,32.5
2012,BURGLARY,53,32.5
2012,THEFT,182,36.5
2012,BATTERY,145,36.5
2012,NARCOTICS,132,36.5
2012,CRIMINAL DAMAGE,99,36.5
2012,BURGLARY,65,36.5
2012,ASSAULT,61,36.5
2012,THEFT,193,40.5
2012,NARCOTICS,146,40.5
2012,BATTERY,138,40.5
2012,CRIMINAL DAMAGE,76,40.5
2012,BURGLARY,55,40.5
2012,ASSAULT,46,40.5
2012,THEFT,185,38.5
2012,BATTERY,184,38.5
2012,NARCOTICS,150,38.5
2012,CRIMINAL DAMAGE,96,38.5
2012,BURGLARY,53,38.5
2012,ASSAULT,52,38.5
2012,BATTERY,151,33
2012,THEFT,151,33
2012,NARCOTICS,115,33
2012,CRIMINAL DAMAGE,91,33
2012,BURGLARY,43,33
2012,ASSAULT,34,33
2012,BATTERY,193,31
2012,THEFT,114,31
2012,NARCOTICS,105,31
2012,CRIMINAL DAMAGE,96,31
2012,BURGLARY,36,31
2012,ASSAULT,32,31
2012,THEFT,146,33.5
2012,NARCOTICS,144,33.5
2012,BATTERY,104,33.5
2012,CRIMINAL DAMAGE,62,33.5
2012,BURGLARY,33,33.5
2012,ASSAULT,27,33.5
2012,THEFT,169,37
2012,BATTERY,142,37
2012,NARCOTICS,112,37
2012,CRIMINAL DAMAGE,95,37
2012,BURGLARY,62,37
2012,ASSAULT,49,37
2012,THEFT,186,36.5
2012,BATTERY,145,36.5
2012,NARCOTICS,124,36.5
2012,CRIMINAL DAMAGE,93,36.5
2012,BURGLARY,51,36.5
2012,ASSAULT,50,36.5
2012,THEFT,170,34.5
2012,BATTERY,148,34.5
2012,NARCOTICS,101,34.5
2012,CRIMINAL DAMAGE,76,34.5
2012,BURGLARY,55,34.5
2012,ASSAULT,44,34.5
2012,THEFT,167,30.5
2012,BATTERY,129,30.5
2012,NARCOTICS,105,30.5
2012,CRIMINAL DAMAGE,71,30.5
2012,ASSAULT,56,30.5
2012,BURGLARY,40,30.5
2012,THEFT,185,21.5
2012,BATTERY,125,21.5
2012,NARCOTICS,113,21.5
2012,CRIMINAL DAMAGE,88,21.5
2012,ASSAULT,47,21.5
2012,BURGLARY,42,21.5
2012,BATTERY,166,35
2012,THEFT,125,35
2012,NARCOTICS,91,35
2012,CRIMINAL DAMAGE,79,35
2012,ASSAULT,42,35
2012,BURGLARY,41,35
2012,THEFT,187,32.5
2012,BATTERY,126,32.5
2012,NARCOTICS,110,32.5
2012,CRIMINAL DAMAGE,88,32.5
2012,BURGLARY,58,32.5
2012,ASSAULT,51,32.5
2012,THEFT,172,33.5
2012,BATTERY,135,33.5
2012,NARCOTICS,129,33.5
2012,CRIMINAL DAMAGE,87,33.5
2012,BURGLARY,62,33.5
2012,ASSAULT,56,33.5
2012,THEFT,173,47
2012,BATTERY,165,47
2012,NARCOTICS,128,47
2012,CRIMINAL DAMAGE,67,47
2012,BURGLARY,58,47
2012,ASSAULT,51,47
2012,THEFT,247,37.5
2012,BATTERY,141,37.5
2012,NARCOTICS,127,37.5
2012,CRIMINAL DAMAGE,89,37.5
2012,BURGLARY,63,37.5
2012,ASSAULT,46,37.5
2012,THEFT,184,37
2012,BATTERY,131,37
2012,NARCOTICS,113,37
2012,CRIMINAL DAMAGE,78,37
2012,BURGLARY,77,37
2012,ASSAULT,47,37
2012,THEFT,161,32.5
2012,BATTERY,132,32.5
2012,NARCOTICS,102,32.5
2012,CRIMINAL DAMAGE,90,32.5
2012,ASSAULT,63,32.5
2012,BURGLARY,36,32.5
2012,BATTERY,179,29
2012,THEFT,120,29
2012,NARCOTICS,118,29
2012,CRIMINAL DAMAGE,105,29
2012,ASSAULT,35,29
2012,BURGLARY,26,29
2012,THEFT,159,29
2012,NARCOTICS,126,29
2012,BATTERY,114,29
2012,CRIMINAL DAMAGE,78,29
2012,ASSAULT,48,29
2012,BURGLARY,40,29
2012,BATTERY,180,49.5
2012,THEFT,170,49.5
2012,NARCOTICS,133,49.5
2012,CRIMINAL DAMAGE,102,49.5
2012,ASSAULT,60,49.5
2012,BURGLARY,50,49.5
2012,BATTERY,190,61
2012,THEFT,189,61
2012,NARCOTICS,127,61
2012,CRIMINAL DAMAGE,97,61
2012,ASSAULT,59,61
2012,BURGLARY,44,61
2012,THEFT,170,50
2012,BATTERY,152,50
2012,NARCOTICS,127,50
2012,CRIMINAL DAMAGE,114,50
2012,ASSAULT,64,50
2012,BURGLARY,62,50
2012,THEFT,202,34
2012,BATTERY,166,34
2012,NARCOTICS,130,34
2012,CRIMINAL DAMAGE,103,34
2012,ASSAULT,60,34
2012,BURGLARY,60,34
2012,THEFT,177,43.5
2012,BATTERY,169,43.5
2012,NARCOTICS,128,43.5
2012,CRIMINAL DAMAGE,123,43.5
2012,ASSAULT,47,43.5
2012,BURGLARY,36,43.5
2012,BATTERY,209,55
2012,THEFT,152,55
2012,CRIMINAL DAMAGE,120,55
2012,NARCOTICS,69,55
2012,ASSAULT,58,55
2012,BURGLARY,33,55
2012,THEFT,170,58.5
2012,BATTERY,153,58.5
2012,NARCOTICS,130,58.5
2012,CRIMINAL DAMAGE,99,58.5
