Year,Primary Type,Count,Mean_Temp
2012,THEFT,292,79
2012,THEFT,216,79.5
2012,THEFT,254,83
2012,THEFT,236,82
2012,THEFT,222,75
2012,THEFT,233,73.5
2012,THEFT,245,77
2012,THEFT,236,78
2012,THEFT,221,69
2012,THEFT,229,68.5
2012,THEFT,239,67
2012,THEFT,208,65.5
2012,THEFT,233,64.5
2012,THEFT,218,70
2012,THEFT,273,75
2012,THEFT,220,69
2012,THEFT,227,67
2012,THEFT,229,65
2012,THEFT,200,69.5
2012,THEFT,209,66
2012,THEFT,229,66
2012,THEFT,215,69.5
2012,THEFT,215,78
2012,THEFT,232,79
2012,THEFT,221,79.5
2012,THEFT,182,72.5
2012,THEFT,207,77
2012,THEFT,208,74.5
2012,THEFT,242,74.5
2012,THEFT,211,77
2012,THEFT,224,81.5
2012,THEFT,279,73
2012,THEFT,201,77.5
2012,THEFT,181,79.5
2012,THEFT,233,78
2012,THEFT,197,74.5
2012,THEFT,216,77
2012,THEFT,236,68.5
2012,THEFT,248,63.5
2012,THEFT,211,63.5
2012,THEFT,213,63.5
2012,THEFT,226,67.5
2012,THEFT,203,74.5
2012,THEFT,220,62.5
2012,THEFT,241,63.5
2012,THEFT,254,64.5
2012,THEFT,201,63
2012,THEFT,220,66.5
2012,THEFT,217,55
2012,THEFT,204,57
2012,THEFT,236,61.5
2012,THEFT,264,54
2012,THEFT,205,51.5
2012,THEFT,189,50.5
2012,THEFT,200,53.5
2012,THEFT,178,63
2012,THEFT,203,60.5
2012,THEFT,215,55.5
2012,THEFT,238,58.5
2012,THEFT,227,63.5
2012,THEFT,205,58
2012,THEFT,290,56.5
2012,THEFT,172,61
2012,THEFT,217,61
2012,THEFT,213,62.5
2012,THEFT,226,44.5
2012,THEFT,175,42
2012,THEFT,175,43.5
2012,THEFT,209,46
2012,THEFT,188,53.5
2012,THEFT,208,43
2012,THEFT,194,51
2012,THEFT,228,45
2012,THEFT,208,55.5
2012,THEFT,182,59.5
2012,THEFT,212,50.5
2012,THEFT,190,55
2012,THEFT,210,61
2012,THEFT,213,49.5
2012,THEFT,210,47.5
2012,THEFT,207,49
2012,THEFT,183,52.5
2012,THEFT,203,57
2012,THEFT,204,63.5
2012,THEFT,221,68
2012,THEFT,218,60
2012,THEFT,226,44
2012,THEFT,209,41
2012,THEFT,185,43.5
2012,THEFT,210,43.5
2012,THEFT,228,43.5
2012,THEFT,185,42
2012,THEFT,243,44
2012,THEFT,235,41
2012,THEFT,168,40.5
2012,THEFT,159,40
2012,THEFT,206,38
2012,THEFT,167,35.5
2012,THEFT,221,43.5
2012,THEFT,200,40
2012,THEFT,223,44.5
2012,THEFT,242,58
2012,THEFT,178,55
2012,THEFT,209,34.5
2012,THEFT,202,32.5
2012,THEFT,189,37
2012,THEFT,239,39
2012,THEFT,230,40.5
2012,THEFT,223,40.5
2012,THEFT,181,44
2012,THEFT,195,47.5
2012,THEFT,215,49
2012,THEFT,211,44
2012,THEFT,133,52.5
2012,THEFT,199,35
2012,THEFT,200,28
2012,THEFT,170,36
2012,THEFT,183,29.5
2012,THEFT,209,25
2012,THEFT,185,35.5
2012,THEFT,237,42
2012,THEFT,231,43.5
2012,THEFT,256,44
2012,THEFT,159,53.5
2012,THEFT,173,58
2012,THEFT,204,48.5
2012,THEFT,211,33.5
2012,THEFT,191,39
2012,THEFT,229,43.5
2012,THEFT,185,39
2012,THEFT,175,38
2012,THEFT,202,34.5
2012,THEFT,213,29
2012,THEFT,245,37
2012,THEFT,196,40.5
2012,THEFT,225,38
2012,THEFT,241,43.5
2012,THEFT,163,43.5
2012,THEFT,196,35
2012,THEFT,204,36
2012,THEFT,200,37.5
2012,THEFT,215,41
2012,THEFT,180,26.5
2012,THEFT,187,24.5
2012,THEFT,175,27.5
2012,THEFT,178,31
2012,THEFT,92,29
2012,THEFT,138,30.5
2012,THEFT,139,30.5
2012,THEFT,181,30.5
2012,THEFT,199,26
2012,THEFT,142,23.5
2012,THEFT,172,27.5
2013,THEFT,253,18
2013,THEFT,183,20
2013,THEFT,144,23.5
2013,THEFT,201,24.5
2013,THEFT,160,28.5
2013,THEFT,147,27
2013,THEFT,171,28
2013,THEFT,161,33
2013,THEFT,198,38.5
2013,THEFT,194,33.5
2013,THEFT,191,47
2013,THEFT,166,41.5
2013,THEFT,144,22
2013,THEFT,174,18.5
2013,THEFT,203,21.5
2013,THEFT,159,26
2013,THEFT,167,26.5
2013,THEFT,204,31
2013,THEFT,178,37.5
2013,THEFT,123,20.5
2013,THEFT,132,10
2013,THEFT,175,5
2013,THEFT,186,16.5
2013,THEFT,184,13
2013,THEFT,197,23.5
2013,THEFT,181,20.5
2013,THEFT,152,30
2013,THEFT,206,42.5
2013,THEFT,188,51
2013,THEFT,178,32.5
2013,THEFT,165,13.5
2013,THEFT,240,7
2013,THEFT,173,15.5
2013,THEFT,103,15
2013,THEFT,155,20.5
2013,THEFT,172,18.5
2013,THEFT,161,23.5
2013,THEFT,168,32.5
2013,THEFT,190,28
2013,THEFT,181,26
2013,THEFT,153,39.5
2013,THEFT,173,37
2013,THEFT,171,25
2013,THEFT,180,31.5
2013,THEFT,148,36
2013,THEFT,216,26.5
2013,THEFT,157,16
2013,THEFT,121,19.5
2013,THEFT,147,39.5
2013,THEFT,168,21
2013,THEFT,165,16
2013,THEFT,158,25.5
2013,THEFT,164,29
2013,THEFT,127,25
2013,THEFT,128,28
2013,THEFT,154,31.5
2013,THEFT,143,34
2013,THEFT,177,33
2013,THEFT,151,31
2013,THEFT,232,27.5
2013,THEFT,152,24
2013,THEFT,146,24.5
2013,THEFT,169,26
2013,THEFT,158,31
2013,THEFT,130,31
2013,THEFT,176,33
2013,THEFT,197,29.5
2013,THEFT,165,37
2013,THEFT,134,45
2013,THEFT,183,40.5
2013,THEFT,205,31.5
2013,THEFT,193,27.5
2013,THEFT,166,30
2013,THEFT,203,35.5
2013,THEFT,154,32.5
2013,THEFT,144,30.5
2013,THEFT,195,28
2013,THEFT,167,24.5
2013,THEFT,171,19.5
2013,THEFT,165,23.5
2013,THEFT,214,30.5
2013,THEFT,168,33
2013,THEFT,138,34.5
2013,THEFT,175,35
2013,THEFT,167,36
2013,THEFT,154,36.5
2013,THEFT,195,39.5
2013,THEFT,192,43.5
2013,THEFT,193,43.5
2013,THEFT,136,47.5
2013,THEFT,248,35
2013,THEFT,178,35
2013,THEFT,172,34.5
2013,THEFT,195,41.5
2013,THEFT,210,40.5
2013,THEFT,163,53
2013,THEFT,140,49.5
2013,THEFT,177,52.5
2013,THEFT,176,47
2013,THEFT,200,39.5
2013,THEFT,169,42
2013,THEFT,207,41
2013,THEFT,181,39.5
2013,THEFT,155,53.5
2013,THEFT,222,55
2013,THEFT,170,49
2013,THEFT,152,45.5
2013,THEFT,176,51
2013,THEFT,193,36.5
2013,THEFT,179,39
2013,THEFT,158,41.5
2013,THEFT,201,52.5
2013,THEFT,166,48.5
2013,THEFT,190,43.5
2013,THEFT,198,44.5
2013,THEFT,233,50.5
2013,THEFT,181,55.5
2013,THEFT,170,57
2013,THEFT,211,60.5
2013,THEFT,191,73
2013,THEFT,268,70
2013,THEFT,170,48.5
2013,THEFT,206,44
2013,THEFT,190,59.5
2013,THEFT,194,58.5
2013,THEFT,196,60.5
2013,THEFT,201,61.5
2013,THEFT,213,63.5
